Month,All Items,Food,Food Excl Food Servicing Services,Food Servicing Services,Clothing & Footwear,Housing & Utilities,Household Durables And Services,Health Care,Transport,Communication,Recreation & Culture,Education,Miscellaneous Goods & Services,"Transferrables (All except housing, household, healthcare, communication, education)"
1/8/2009,0.4,0,-0.3,0.1,1.4,-0.2,0.2,-0.2,2.3,-0.1,-0.5,0.6,0.6,0.5
1/9/2009,-0.4,0.1,0.3,0,-1.4,-1.1,0.1,0.3,-0.4,0,0.1,-0.4,-0.2,-0.2
1/10/2009,0.6,0.1,0.3,0,0.9,1.8,0.3,0.1,0.5,-0.3,0.4,0.1,0.2,0.3
1/11/2009,0.1,0,0.1,0,-0.1,0,0.2,0,0.5,-2.4,0.9,0,-0.2,0.2
1/12/2009,-0.6,0,-0.1,0,-1.5,-2.3,0,-0.1,-0.5,-0.2,0.9,0,0.2,-0.1
1/1/2010,0.7,0.2,0.5,0,-0.6,2.8,0.1,0.5,0.9,-1.3,-1.3,1.3,0.1,0
1/2/2010,0.4,0.7,1.7,0.1,-0.8,0,0,-0.1,0.4,2.2,1.2,0.8,-0.4,0.4
1/3/2010,0.1,-0.2,-0.7,0.1,2.9,-0.7,0.2,0.1,1.1,0.3,-0.5,0,0.6,0.5
1/4/2010,0.9,0.1,0.2,0.1,-0.1,1.3,0,0.5,3.3,-2.1,1.1,0.2,0.1,0.7
1/5/2010,0.6,0.1,0.2,0,-0.8,0.3,0,0.1,3.3,-0.1,-0.3,0,-0.2,0.3
1/6/2010,-1,0,-0.1,0,-3.4,-1.7,-0.1,0.3,-2.7,1.3,-0.6,0,-0.3,-1
1/7/2010,1.3,0.4,0.6,0.2,3.4,2.8,0.2,0.8,1.7,0,0.4,1,0.1,1
1/8/2010,0.5,0.1,0.3,0,2.5,0.3,0.2,0.1,0.7,1,0.1,0.9,0.8,0.6
1/9/2010,0.1,0.1,0.1,0.1,-1.9,0.5,0,-0.1,-0.2,0.2,0.2,0,-0.2,-0.3
1/10/2010,0.4,0.2,0.2,0.1,1.5,0.6,0.4,0.3,0.8,-0.9,0.7,0.2,0.3,0.5
1/11/2010,0.3,0.1,0.3,0,0.6,0.5,0.1,0,0.4,0.1,0.6,0.2,0.2,0.3
1/12/2010,0.2,0.2,-0.1,0.4,-3.2,-1.1,-0.1,0,2.6,0.1,0.5,0,-0.3,0
1/1/2011,1.6,0.9,1.9,0.3,-0.5,2.9,1.1,0.8,5.8,-1.4,-4.1,1.3,0.3,0.7
1/2/2011,-0.1,0.4,0.7,0.3,0.3,0.6,2.2,0,-2.3,-0.1,0.2,0.2,-0.4,-0.1
1/3/2011,0.1,-0.1,-1,0.5,2.6,0.6,0.3,-0.1,-0.6,-0.4,0,0,0.7,0.3
1/4/2011,0.3,0.4,0.4,0.4,-0.4,-0.8,2.1,0.4,1.8,-0.1,0.5,0.2,0,0.4
1/5/2011,0.6,0,-0.2,0.1,-0.7,3.3,0.9,-0.1,-0.5,0,-0.9,0,-0.3,-0.4
1/6/2011,-0.2,0.3,0.5,0.2,-2.9,-1,0,0.1,0,-0.1,0.5,0,-0.3,-0.2
1/7/2011,1.5,0.2,-0.1,0.5,1.6,3.5,0.2,0.3,2.7,0.1,-0.2,0.3,0.5,0.7
1/8/2011,0.7,0.2,0.2,0.1,2.8,0.8,0.1,0.1,1.6,0,0.7,0.7,0.3,0.8
1/9/2011,-0.2,0.2,0.4,0.1,-1.3,0.1,0,0.1,-1.1,-0.1,-0.2,0,-0.2,-0.3
1/10/2011,0.4,0.5,0.4,0.6,0.6,0.9,0.2,0.3,-0.1,0.2,0.3,-0.1,0.4,0.4
1/11/2011,0.6,0.2,0.3,0.1,0.8,0.6,0.3,0.3,1.4,0.1,0.9,0,-0.3,0.5
1/12/2011,0,0.3,0.7,0.1,-2.5,-1.2,-0.1,0.5,1.2,0,1.3,0,-0.2,0.1
1/1/2012,0.9,1,2.2,0.3,0.7,2.5,0.1,1.2,-0.5,0,-0.8,2.2,0.5,0.5
1/2/2012,-0.3,-0.7,-2,0.1,0.7,0.5,0,0.4,-1.4,-0.1,-0.6,0.2,0.1,-0.5
1/3/2012,0.8,-0.1,-0.2,0.1,2.2,0.4,0,0.2,3.5,0,-0.2,0,0.2,0.8
1/4/2012,0.5,0.1,0.1,0.1,-0.4,1.1,0.2,0.7,0.7,0.1,0.1,0.8,0,0.1
1/5/2012,0.2,0.1,0.2,0.1,-1.5,0.4,0,-0.2,1,-0.1,-0.4,0,-0.2,-0.1
1/6/2012,0,0.1,0.1,0.1,-2.3,0.4,0.1,0.4,-0.4,0,0.1,0,-0.2,-0.4
1/7/2012,0.2,0.2,0.3,0.2,3,0.2,0.5,1,-0.2,0.1,-0.5,0.1,0.5,0.5
1/8/2012,0.6,0.1,0.2,0.1,1.5,0.4,0.2,0.1,2,0,0.3,0.6,0.4,0.7
1/9/2012,0.6,0.1,0,0.1,-0.2,0.5,0.3,-0.1,2.2,0.1,0.3,0.1,0.1,0.4
1/10/2012,-0.2,0.2,0.1,0.2,0.2,0,0.5,0.3,-2,-0.2,0.9,0,0.3,0
1/11/2012,0.1,0.1,0.2,0.1,-1.5,0.3,-0.1,0.2,0.2,0,0.2,0,0.2,-0.1
1/12/2012,0.7,0.2,0.4,0,0.3,0.3,0.6,0.1,3,-1.2,1,0,-0.1,0.7
1/1/2013,0.2,0.5,0.9,0.3,-0.5,0.1,0.2,0.4,-0.2,0,-1.1,2.3,0.9,0.1
1/2/2013,1,0.5,1.1,0.1,-0.1,0.3,3.4,0.4,3.5,0,0.1,0.1,-0.1,0.7
1/3/2013,-0.5,-0.5,-1.6,0.1,3.1,0.2,-2,0.7,-2.9,0.1,-0.1,0,0.7,-0.2
1/4/2013,-1.5,0.2,0.1,0.2,-1.9,-1.9,1.4,0.2,-5.3,0,-0.8,0.2,-0.1,-1.1
1/5/2013,0.4,0.3,0.5,0.2,-0.4,2.7,0.2,0.5,-2.4,-0.2,0.1,0,0.3,-0.2
1/6/2013,0.2,0.1,0,0.2,-2.8,0.2,0.3,0.4,0.9,0,0.6,0,-0.5,-0.2
1/7/2013,0.3,0.3,0.4,0.2,2.4,-1.6,0.2,0.5,3.1,0,-0.6,0,0,0.8
1/8/2013,0.8,0.3,0,0.5,1.1,1.7,0.1,0.1,0.4,-0.1,1.3,1.1,0.3,0.6
1/9/2013,0.1,0.1,0.2,0.1,-1.3,0.2,0,0,0.5,-0.1,0.6,0,-0.2,0
1/10/2013,0.2,0.3,0.2,0.4,0.7,-1.2,0.3,0.1,1.8,0.2,0.1,0.3,0,0.5
1/11/2013,0.7,0.2,0.3,0.1,1.7,1.5,0.3,0.1,0.8,0,1.1,0,-0.1,0.6
1/12/2013,-0.3,0.3,0.6,0.1,-1.9,0.1,0,0.3,-2,-0.7,0.6,0,-0.5,-0.4
1/1/2014,0.1,1,1.6,0.7,0.3,-0.1,-0.2,0.2,-1.1,0.2,-0.5,1.9,0.6,0.4
1/2/2014,0,-0.2,-1,0.3,-2.2,-0.1,-0.2,0.4,0.6,0,-0.2,-0.1,-0.2,-0.4
1/3/2014,0.3,0.1,0,0.2,3.2,-0.1,0.3,0.5,0.6,-0.4,0,0,1.2,0.8
1/4/2014,-0.4,0.2,0.2,0.1,0.1,-2.1,0,0.3,0,0.3,0.4,0.3,0.8,0.3
1/5/2014,0.3,0.4,0.5,0.3,-1.4,2.1,0.8,0.2,-1.6,0,-0.3,0,-0.2,-0.3
1/6/2014,-0.2,0,-0.1,0.1,-2.5,-0.2,-0.1,0.4,-0.2,-0.4,0,0,-0.6,-0.5
1/7/2014,-0.3,0.1,0.2,0.1,0.6,-1.5,0.3,0.7,-0.2,0.2,-0.3,0.2,0.8,0.2
1/8/2014,0.5,0.1,0.3,0,2.5,1.3,0.1,0.2,0.4,0,-0.1,0.6,0,0.5
1/9/2014,-0.2,0.2,0.2,0.2,-2.4,-0.2,-0.2,-1.1,-0.2,1.3,-0.3,0.3,-0.7,-0.4
1/10/2014,-0.3,0.2,0.2,0.3,0.8,-1.6,0,0.1,-0.4,0.3,0.6,0,0.5,0.3
1/11/2014,0.2,0.2,0.3,0.1,0.1,1,-0.1,0,-0.5,-0.1,-0.1,0,-0.4,0
1/12/2014,-0.1,0.2,0.2,0.2,-0.8,-0.2,0.1,0.1,-0.5,-0.1,0.2,0,-0.4,-0.1
1/1/2015,-0.2,0.5,0.6,0.5,-0.2,-0.7,0.1,-1,-1.1,0,-0.4,1.8,0,0
1/2/2015,0.1,0.2,0.6,0,0.1,-0.2,0.4,0,-0.1,0,0.7,0.4,0.4,0.3
1/3/2015,0.2,-0.3,-1.1,0.1,2.3,-0.2,0,0.1,1.7,1,0.1,-0.1,0,0.4
1/4/2015,-0.6,0.1,-0.1,0.2,-1.1,-3.2,0.1,0,1.3,0,-0.4,0,0.2,0
1/5/2015,0.5,0.2,-0.2,0.4,0.6,2,-2.8,0.4,0.7,-1.8,-0.2,-0.2,-0.1,0.2
1/6/2015,-0.1,0.2,0,0.3,-2.3,-0.3,0.1,0.3,-0.1,-0.1,0.2,0,-0.5,-0.3
1/7/2015,-0.4,0.1,-0.1,0.1,1.3,-1.2,0.1,0.6,-1,-0.5,-0.1,0.7,0.2,0.1
1/8/2015,0.1,0.1,0.2,0.1,0.8,1.2,-0.1,0,-2,0,-0.1,0.7,0.3,-0.1
1/9/2015,0,0.1,0.2,0.1,0.9,-0.3,0.5,0.1,-0.1,0,0,0.1,-0.2,0.1
1/10/2015,-0.4,0.3,0.4,0.2,-0.6,-2.2,0,0.1,0.1,1.2,0.4,0.1,-0.1,0.1
1/11/2015,0.2,0,-0.2,0.1,0.5,1.1,0.2,-1.2,0,-0.3,0.3,0,-0.5,0
1/12/2015,0,0.1,0.2,0,-1,-0.3,0.2,0,-0.2,0.6,0.9,0,0.2,0
1/1/2016,-0.2,0.7,1.6,0.2,1.2,-0.5,0,0.4,-1.8,-0.6,-0.9,0.8,0.3,0.2
1/2/2016,-0.1,0.5,0.7,0.4,0,-0.3,1.1,-0.1,-1.5,-0.3,0,0.2,0.7,0.1
1/3/2016,0,-0.1,-0.4,0.1,1.1,-0.3,0.3,0.2,0.2,0.2,0.3,0,0.1,0.2
1/4/2016,-0.1,0.2,0.1,0.2,-0.6,-0.9,0.7,0.4,0.2,-0.2,0.2,0.6,0.2,0.1
1/5/2016,-0.7,0,-0.1,0.1,-1.5,-2.7,0.1,0.3,0.3,0,-0.1,0,-0.5,-0.3
1/6/2016,0.7,0.1,0,0.1,-1.8,2.1,0.2,-0.1,1.4,0.4,0.7,0,-0.2,0
1/7/2016,-0.3,0.1,0.1,0.2,-0.7,-1.3,-0.1,0.3,-0.1,0,-0.5,1,0,-0.1
1/8/2016,0.5,0,-0.3,0.2,0.7,1.2,-0.2,0.4,0.8,0.2,-0.2,0.5,0.2,0.2
1/9/2016,0,0.3,0.6,0.1,1.6,-0.3,0.4,-0.1,0.1,-0.9,0.2,-0.1,-0.6,0.3
1/10/2016,-0.3,0,-0.2,0.1,0.5,-1.7,0.1,0.4,0.4,0.6,0.1,0.1,-0.2,0.1
1/11/2016,0.3,0.1,0.1,0.1,0.5,1.1,-0.4,0.3,0,-0.5,0.1,0,0.8,0.2
1/12/2016,0.2,0.2,0.2,0.1,-0.9,-0.3,-0.2,0.5,0.9,0.4,1,0,-0.6,0.1
1/1/2017,0.2,0.5,1.2,0.2,-0.3,0.2,0,0.1,0.1,0.6,-1.3,1.1,0.3,0.1
1/2/2017,0,0,-0.3,0.1,1.3,-0.2,0.5,0,-0.1,0,0,0.3,0,0.1
1/3/2017,0,-0.1,-0.6,0.2,0.5,-0.3,0.4,0.4,0.5,-0.9,0.1,0,0.9,0.2
1/4/2017,-0.3,0.2,0.3,0.2,0.8,-2.3,-0.1,0.6,0.4,1.2,0.3,0.2,0.2,0.3
1/5/2017,0.3,0.2,0.2,0.1,-0.1,2.1,0,-0.3,-0.6,-0.2,-0.5,0,-0.7,-0.2
1/6/2017,-0.1,0,-0.3,0.1,-1.8,-0.1,-0.2,0.1,-0.6,-1.1,0.8,0.1,0.1,-0.2
1/7/2017,-0.2,0.2,0.4,0.1,-0.1,-1.7,0.6,0.6,0.1,0.9,-0.5,0.7,0.3,0.1
1/8/2017,0.3,-0.2,-0.6,0,-0.3,1.3,0,0.1,0.2,0,0.2,0.3,-0.3,-0.1
1/9/2017,0,0.2,0.6,0.1,0.5,-0.3,0.1,-0.2,-0.3,0.3,0.3,-0.1,0,0.2
1/10/2017,-0.3,0.2,0.4,0.2,0.7,-2,0,0.1,0.5,0.2,0.5,0,0,0.4
1/11/2017,0.6,0.1,0,0.1,0.5,1.4,-0.1,0.1,1.5,0,0.1,0,-0.5,0.3
1/12/2017,-0.1,0.1,0,0.2,-1.8,-0.3,-0.2,0.3,-0.3,-0.6,0.7,0,0,-0.2
1/1/2018,-0.2,0.3,0.6,0.1,0.9,-1.2,0.1,0.5,-0.5,0.1,-1,1.3,0.7,0.2
1/2/2018,0.5,0.3,0.5,0.2,1,1.3,0.1,0.2,-0.2,-0.1,0.8,0.5,-0.2,0.3
1/3/2018,-0.2,-0.2,-0.8,0.2,0.9,-0.2,0.3,0,-0.7,-1.1,-1,0,1.5,0
1/4/2018,-0.5,0.2,0,0.3,0.4,-2.6,-0.1,0.5,0.2,0.1,0.4,0.2,-0.3,0.2
1/5/2018,0.6,0.1,0.1,0.1,-0.3,2.5,0.1,0,0.2,0.3,0,0,-0.1,0
1/6/2018,0.1,0.2,0.4,0.1,-0.9,0,-0.1,0.1,-0.3,-0.1,1,0,0.1,0.1
1/7/2018,-0.1,0.2,0.3,0.1,0.7,-0.9,0.2,0.3,-0.5,1,-0.2,0.2,0.1,0.1
1/8/2018,0.4,-0.1,-0.4,0.1,0.3,1.7,0.2,0.2,0.3,-1.7,0.1,0.3,0,0
1/9/2018,0,0.2,0.4,0.1,-0.5,-0.1,0.1,-0.3,-0.2,0.1,-0.1,0.3,0,0
1/10/2018,-0.3,0,0,0,0.1,-1.7,0.1,-0.1,0.1,0.7,0.3,0.3,0,0.1
1/11/2018,0.2,0.1,0,0.1,0.2,1.6,-0.2,-0.1,-0.8,-1.8,0,0,-0.3,-0.1
1/12/2018,0.1,0.1,0,0.1,-0.1,-0.2,-0.1,0.3,-0.2,-0.3,1.4,0,0,0.2
1/1/2019,-0.3,0.3,0.6,0.2,0.8,-1.8,-0.1,0.5,0.3,0,-1.8,1.3,0.6,0.1
1/2/2019,0.5,0.3,0.2,0.3,-0.3,1.4,0.2,0.2,0.4,0.5,0.6,0,-0.3,0.2
1/3/2019,-0.1,0,-0.4,0.2,-0.2,-0.2,-0.2,-0.2,0.2,0.2,-0.4,0,-0.1,-0.1
1/4/2019,-0.3,-0.1,-0.3,0.1,-0.9,-3.2,0.9,0.2,1.8,0.6,1.3,0.1,0,0.3
1/5/2019,0.7,0.2,0.2,0.2,0,2.7,-0.2,0.2,0.4,-0.3,0.1,0,0.2,0.2
1/6/2019,-0.2,0.2,0.2,0.2,-0.7,-0.1,-0.1,-0.2,-1.3,-0.7,0.4,0,0.2,-0.1
1/7/2019,-0.4,0.2,0.1,0.2,-0.8,-1.5,0.1,0.5,-0.2,0.5,-0.7,0.1,0,-0.2
